,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,6.28197e-05,2.40353e-05,7.05809e-06,0.00468965,-0.00180505,-0.00126367,-0.00105437,0.0213051
1,0.000294076,0.00011232,2.61183e-05,0.0098538,-0.00385541,-0.00277795,-0.00220766,0.0544109
2,0.00134499,0.000512451,8.57348e-05,0.0188153,-0.00729355,-0.00515965,-0.00383589,0.123684
3,0.00594852,0.00225815,0.000231267,0.0308163,-0.0112974,-0.00713228,-0.00474042,0.24503
4,0.0249514,0.00941337,0.000435124,0.0386175,-0.0116536,-0.00389255,-0.00156086,0.399121
5,0.0947056,0.0352427,0.000369668,0.0287607,-0.00234714,0.00978266,0.00751876,0.456981
6,0.259816,0.0897797,2.8163e-05,0.0083807,0.00316143,0.010522,0.00619728,0.195608
7,0.21732,0.0601647,4.12226e-07,0.0012086,0.000393702,0.00139186,0.000769286,0.0339055
8,0.0924455,0.0185389,5.07391e-09,7.84144e-05,2.97991e-05,9.88074e-05,5.73344e-05,0.00461664
9,0.0182192,0.00220904,1.4972e-11,9.89294e-07,7.5552e-07,2.00569e-06,1.44381e-06,0.000302315
10,0.000376533,1.52849e-05,1.69352e-16,2.00522e-09,-7.59877e-10,-5.17145e-10,3.80946e-10,1.32317e-06
