,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,4.90263e-05,1.88146e-05,-2.1684e-19,0.00353153,-0.00124466,-0.000723556,-0.000622763,0.0137256
1,0.000238181,9.12864e-05,8.67362e-19,0.00781077,-0.00286671,-0.00182803,-0.00153014,0.0410105
2,0.00113594,0.000434452,5.20417e-18,0.0160699,-0.00597048,-0.00390601,-0.00311964,0.106145
3,0.00525673,0.00200352,-6.93889e-18,0.0288111,-0.0103452,-0.00628489,-0.00458706,0.233426
4,0.0231091,0.00875366,6.93889e-18,0.0401245,-0.0123898,-0.00471743,-0.00248215,0.40743
5,0.092035,0.0343911,-1.38778e-16,0.0338037,-0.00465122,0.00759939,0.0064665,0.474449
6,0.264781,0.091762,4.23273e-16,0.00851814,0.00334379,0.0109466,0.00652225,0.194018
7,0.224948,0.0623764,-1.32327e-16,0.000661945,0.000709565,0.0017501,0.000920451,0.0319595
8,0.0963183,0.0193527,9.69006e-17,-1.85494e-05,8.17556e-05,0.000154236,7.85772e-05,0.00412255
9,0.0191467,0.00232813,2.81876e-17,-4.09358e-06,3.37457e-06,4.70235e-06,2.49007e-06,0.000248884
10,0.0004043,1.64804e-05,-2.00823e-19,-7.43506e-09,3.98177e-09,4.24601e-09,2.63193e-09,9.29395e-07
