,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,4.83506e-05,1.85562e-05,-0,0.00351245,-0.00123698,-0.000717736,9.48677e-20,0.0141164
1,0.000235043,9.00899e-05,-0,0.00777156,-0.00285079,-0.00181579,2.98156e-19,0.0421628
2,0.00112198,0.000429156,-0,0.0160072,-0.00594626,-0.00388893,1.6263e-19,0.109219
3,0.00519896,0.00198178,-0,0.0287569,-0.010331,-0.00628359,8.67362e-19,0.240694
4,0.0228998,0.00867624,-0,0.0401656,-0.0124284,-0.00477393,1.02999e-18,0.421808
5,0.0914892,0.0341998,-0,0.0339275,-0.00471263,0.0075385,-3.25261e-19,0.494846
6,0.264937,0.091898,-0,0.00854274,0.00338298,0.0110373,-4.40457e-18,0.20503
7,0.226683,0.0629457,-0,0.00066698,0.000721726,0.00177694,-6.95922e-18,0.0339804
8,0.0976467,0.0196521,-0,-1.88449e-05,8.3371e-05,0.000157319,-2.1701e-18,0.00438019
9,0.0195451,0.00238091,-0,-4.18071e-06,3.45431e-06,4.81826e-06,-4.33681e-19,0.000263547
10,0.000417676,1.70587e-05,-0,-7.67122e-09,4.1103e-09,4.38499e-09,-1.52467e-20,9.84215e-07
