 ,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
 0, 0.76698799E-04, 0.29289135E-04, 0.63875718E-05, 0.11709593E-01,-0.23666504E-02,-0.18029996E-02,-0.14521175E-02, 0.31008974E-01
 1, 0.35067344E-03, 0.13364158E-03, 0.23003984E-04, 0.23612949E-01,-0.47934185E-02,-0.36730696E-02,-0.27845871E-02, 0.72690494E-01
 2, 0.15610535E-02, 0.59328752E-03, 0.73471028E-04, 0.42812470E-01,-0.85248068E-02,-0.63124922E-02,-0.44071751E-02, 0.15274248E+00
 3, 0.66956593E-02, 0.25346267E-02, 0.19275516E-03, 0.65806413E-01,-0.12251623E-01,-0.79607903E-02,-0.48401638E-02, 0.28097083E+00
 4, 0.27124607E-01, 0.10200260E-01, 0.35230542E-03, 0.75395031E-01,-0.11126919E-01,-0.32333463E-02,-0.75826632E-03, 0.42756193E+00
 5, 0.98758369E-01, 0.36601666E-01, 0.28978628E-03, 0.47350898E-01, 0.51385568E-04, 0.12092212E-01, 0.86052979E-02, 0.46241338E+00
 6, 0.25571513E+00, 0.87846849E-01, 0.21135625E-04, 0.13504555E-01, 0.35943762E-02, 0.10578032E-01, 0.60903866E-02, 0.18837564E+00
 7, 0.20496897E+00, 0.56318420E-01, 0.29718203E-06, 0.25930813E-02, 0.26141663E-03, 0.11713201E-02, 0.68941319E-03, 0.31884371E-01
 8, 0.84404010E-01, 0.16774617E-01, 0.34964712E-08, 0.23207062E-03, 0.28309229E-05, 0.63682335E-04, 0.47008601E-04, 0.43220685E-02
 9, 0.16012531E-01, 0.19214801E-02, 0.85229544E-10, 0.72091318E-05,-0.74260332E-06, 0.31714929E-06, 0.96419102E-06, 0.28267913E-03
10, 0.30848493E-03, 0.12377041E-04, 0.63620352E-12, 0.16257339E-07,-0.38733836E-08,-0.36818225E-08,-0.68178703E-09, 0.12008943E-05
