,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,6.735072e-05,2.752560e-05,1.126126e-05,5.465191e-03,-2.186318e-03,-1.636186e-03,0.000000e+00,3.141632e-02
1,3.102917e-04,1.250747e-04,4.243886e-05,1.077677e-02,-4.308867e-03,-3.214783e-03,0.000000e+00,6.954391e-02
2,1.400032e-03,5.551594e-04,1.431340e-04,1.951883e-02,-7.645124e-03,-5.481575e-03,0.000000e+00,1.424065e-01
3,6.125043e-03,2.384087e-03,4.024792e-04,3.074323e-02,-1.129996e-02,-7.089297e-03,0.000000e+00,2.644261e-01
4,2.546157e-02,9.714522e-03,8.163588e-04,3.737075e-02,-1.116354e-02,-3.358359e-03,0.000000e+00,4.193965e-01
5,9.568614e-02,3.567216e-02,8.440179e-04,2.687884e-02,-1.640275e-03,1.045303e-02,0.000000e+00,4.777227e-01
6,2.581684e-01,8.906617e-02,1.599763e-04,8.108364e-03,3.112886e-03,1.034215e-02,0.000000e+00,2.022421e-01
7,2.130306e-01,5.883681e-02,1.314622e-05,1.244888e-03,3.364254e-04,1.303872e-03,0.000000e+00,3.454117e-02
8,8.965598e-02,1.792530e-02,1.089624e-06,7.842164e-05,2.579503e-05,9.191955e-05,0.000000e+00,4.651558e-03
9,1.743952e-02,2.106769e-03,3.091458e-08,2.533484e-07,1.000083e-06,2.181316e-06,0.000000e+00,3.017205e-04
10,3.513921e-04,1.420251e-05,2.137977e-11,-2.715253e-09,1.490417e-09,1.713859e-09,0.000000e+00,1.308089e-06
