,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,6.75523e-05,2.57638e-05,8.95316e-06,0.00520353,-0.00205438,-0.00150496,0,0.0269872
1,0.000313149,0.000119441,3.28199e-05,0.0107315,-0.00428021,-0.0031872,0,0.0659953
2,0.00141864,0.000540037,0.000106699,0.0200027,-0.00786341,-0.00570079,0,0.14426
3,0.00621045,0.00235542,0.000284943,0.0317958,-0.0117528,-0.00754061,0,0.275546
4,0.0257471,0.00970292,0.000530301,0.0382195,-0.0114253,-0.0036118,0,0.434076
5,0.0963035,0.0357838,0.000444833,0.0264203,-0.00122486,0.0108768,0,0.482899
6,0.258417,0.089086,3.32871e-05,0.00754589,0.00342874,0.0106408,0,0.200923
7,0.212428,0.058625,4.79986e-07,0.00121995,0.000351682,0.00131351,0,0.0341099
8,0.0891452,0.0178094,5.819e-09,9.14889e-05,1.98189e-05,8.53846e-05,0,0.00457738
9,0.0172895,0.00208691,1.57837e-11,1.96343e-06,1.83889e-07,1.3495e-06,0,0.000294939
10,0.000346903,1.4012e-05,-5.25487e-15,4.24681e-09,-1.90344e-09,-1.68349e-09,0,1.2507e-06
