,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,6.923243e-05,2.831729e-05,1.177212e-05,5.490276e-03,-2.196136e-03,-1.736572e-03,-1.405087e-03,2.973331e-02
1,3.177378e-04,1.281573e-04,4.416489e-05,1.085211e-02,-4.341556e-03,-3.446587e-03,-2.622296e-03,6.630042e-02
2,1.427721e-03,5.663773e-04,1.482920e-04,1.965250e-02,-7.703557e-03,-5.890903e-03,-4.139365e-03,1.365207e-01
3,6.219364e-03,2.421186e-03,4.151274e-04,3.082745e-02,-1.132993e-02,-7.412337e-03,-4.566421e-03,2.542604e-01
4,2.574039e-02,9.819691e-03,8.381449e-04,3.718489e-02,-1.105930e-02,-2.556436e-03,-4.554499e-04,4.025827e-01
5,9.627375e-02,3.587674e-02,8.620763e-04,2.668810e-02,-1.558809e-03,1.226685e-02,8.569670e-03,4.546202e-01
6,2.578022e-01,8.885419e-02,1.618860e-04,8.238271e-03,2.989033e-03,8.723468e-03,5.224339e-03,1.901961e-01
7,2.110962e-01,5.821526e-02,1.312141e-05,1.250841e-03,3.181252e-04,7.002585e-04,5.058056e-04,3.258108e-02
8,8.826809e-02,1.761650e-02,1.078652e-06,7.741214e-05,2.483278e-05,1.801849e-05,2.913417e-05,4.440642e-03
9,1.704235e-02,2.054764e-03,3.110013e-08,1.969731e-07,9.933566e-07,-6.038213e-07,4.394259e-07,2.929474e-04
10,3.389621e-04,1.367148e-05,2.981632e-11,-2.699429e-09,1.469805e-09,-9.184748e-10,-7.400706e-10,1.292461e-06
