,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.7977242320425676,0.7977242320425678,-1.5954484640851356,-4.699538997260354,1.5533959474517576,1.4905074126008255,0.0,1.8570553401145915
1,0.6223530692891611,0.6223530692891611,-1.2447061385783227,-4.190674531209988,1.4733995783377747,1.2086167625692144,0.0,1.247737446056429
2,0.4616681207584192,0.4616681207584197,-0.923336241516839,-3.1362757690072853,1.1066509568528158,0.7205980100565045,0.0,0.8302000885652657
3,0.30639834685356504,0.30639834685356493,-0.61279669370713,-1.8344679874228451,0.6108903886499488,0.2510028592447974,0.0,0.3903253255908533
4,0.24362617029058564,0.24362617029058561,-0.4872523405811713,-1.0751013585039129,0.29394437378384,0.07550607163200855,0.0,0.1549484940305407
5,0.1962900705295915,0.1962900705295915,-0.392580141059183,-0.6303151053514814,0.11887486346454618,0.01822025722410546,0.0,0.04941358656467258
6,0.1453617417458533,0.14536174174585337,-0.29072348349170674,-0.3681710026297524,0.0387263677229506,0.003288586902106868,0.0,0.012733241067092381
7,0.09471892432151982,0.0947189243215198,-0.1894378486430396,-0.2081660744830985,0.009364937340400056,0.0004085593648612288,0.0,0.0028760784240946017
8,0.05203515974194703,0.05203515974194703,-0.10407031948389406,-0.10692974167194741,0.0014299249367239176,3.467702725073507e-05,0.0,0.0006728781781643096
9,0.021828064332596635,0.021828064332596632,-0.043656128665193264,-0.04384445275706014,9.419935797665689e-05,3.49488581006578e-06,0.0,0.00014949526615387198
10,0.004946917259376033,0.004946917259376034,-0.009893834518752068,-0.009897633081351474,1.901134765416199e-06,5.398609341356216e-07,0.0,1.5696958882055775e-05
