,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,7.396597e-05,3.242832e-05,1.660105e-05,6.080023e-03,-2.484683e-03,-2.143945e-03,-1.582177e-03,3.809182e-02
1,3.337210e-04,1.428449e-04,6.266271e-05,1.144530e-02,-4.631500e-03,-3.981834e-03,-2.728690e-03,7.680816e-02
2,1.478808e-03,6.142339e-04,2.128605e-04,1.996515e-02,-7.865368e-03,-6.475276e-03,-4.114789e-03,1.455402e-01
3,6.376429e-03,2.557540e-03,6.074628e-04,3.047412e-02,-1.120924e-02,-7.615252e-03,-4.395145e-03,2.572716e-01
4,2.619681e-02,1.013358e-02,1.269111e-03,3.588462e-02,-1.057618e-02,-1.145357e-03,4.354248e-05,4.008877e-01
5,9.722686e-02,3.632646e-02,1.408835e-03,2.538039e-02,-1.173574e-03,1.475805e-02,9.026221e-03,4.514560e-01
6,2.562553e-01,8.816279e-02,3.177935e-04,8.385176e-03,2.710839e-03,6.514568e-03,4.687611e-03,1.854983e-01
7,2.064515e-01,5.676275e-02,2.795145e-05,1.268116e-03,2.653610e-04,-7.145118e-05,3.777121e-04,3.141476e-02
8,8.515545e-02,1.693070e-02,2.308508e-06,6.612628e-05,2.598431e-05,-6.798590e-05,1.642809e-05,4.271447e-03
9,1.617264e-02,1.941163e-03,6.489489e-08,-1.341961e-06,1.626925e-06,-3.178068e-06,1.365399e-08,2.816513e-04
10,3.118662e-04,1.251376e-05,5.819832e-11,-9.041534e-09,4.523912e-09,7.666756e-09,4.755911e-10,1.230502e-06
