,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,7.211522e-05,3.024094e-05,1.394086e-05,5.810632e-03,-2.352168e-03,-1.928738e-03,-1.510978e-03,3.360732e-02
1,3.283759e-04,1.352525e-04,5.230748e-05,1.124250e-02,-4.530877e-03,-3.715264e-03,-2.722571e-03,7.173832e-02
2,1.465092e-03,5.905270e-04,1.760076e-04,1.999439e-02,-7.870392e-03,-6.194110e-03,-4.187271e-03,1.425259e-01
3,6.342846e-03,2.494393e-03,4.951982e-04,3.088465e-02,-1.136937e-02,-7.548488e-03,-4.497200e-03,2.590368e-01
4,2.610398e-02,1.000345e-02,1.010749e-03,3.664642e-02,-1.084086e-02,-2.006243e-03,-1.661958e-04,4.052346e-01
5,9.700376e-02,3.616766e-02,1.069416e-03,2.576725e-02,-1.203941e-03,1.332732e-02,8.841106e-03,4.543967e-01
6,2.569015e-01,8.843631e-02,2.170363e-04,8.116108e-03,2.941497e-03,7.981773e-03,4.991356e-03,1.877592e-01
7,2.082586e-01,5.732670e-02,1.825661e-05,1.257202e-03,2.906787e-04,4.213119e-04,4.472364e-04,3.192877e-02
8,8.637165e-02,1.719884e-02,1.502316e-06,7.598425e-05,2.315603e-05,-1.374398e-05,2.322335e-05,4.343072e-03
9,1.651446e-02,1.985859e-03,4.271930e-08,-1.369054e-07,1.093789e-06,-1.594967e-06,2.346448e-07,2.861967e-04
10,3.225848e-04,1.297193e-05,3.987444e-11,-4.412775e-09,2.281014e-09,-1.052381e-09,-1.002069e-09,1.253311e-06
