,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.795,0.795,-1.59,-6.13602,2.27359,2.20849,1.86062,2.3092
1,0.617812,0.617812,-1.23562,-4.30113,1.53288,1.2676,0.78962,1.23016
2,0.457556,0.457556,-0.915112,-3.09477,1.08987,0.705996,0.383642,0.784021
3,0.303359,0.303359,-0.606719,-1.78556,0.589425,0.234019,0.108148,0.358645
4,0.2408,0.2408,-0.4816,-1.04867,0.283535,0.0687718,0.028427,0.140714
5,0.193501,0.193501,-0.387001,-0.616928,0.114963,0.0163614,0.00625064,0.0446452
6,0.142878,0.142878,-0.285756,-0.360803,0.0375236,0.00292634,0.00109076,0.0115355
7,0.0928179,0.0928179,-0.185636,-0.203785,0.00907467,0.000360591,0.000151781,0.0026453
8,0.0508179,0.0508179,-0.101636,-0.104399,0.0013817,2.93216e-05,1.92789e-05,0.000632557
9,0.0212166,0.0212166,-0.0424332,-0.0426164,9.15931e-05,1.90339e-06,2.19077e-06,0.000141441
10,0.0047574,0.0047574,-0.0095148,-0.00951646,8.28286e-07,5.4129e-08,8.39991e-08,1.44883e-05
