,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.795197,0.795197,-1.59039,-6.14076,2.27593,2.7175,2.42457,2.41554
1,0.614989,0.614989,-1.22998,-4.6142,1.69228,1.54236,0.936858,1.34071
2,0.454265,0.454265,-0.908531,-3.27267,1.18212,0.822924,0.42712,0.836977
3,0.300838,0.300838,-0.601675,-1.82686,0.612602,0.256182,0.111282,0.368024
4,0.237999,0.237999,-0.475998,-1.0463,0.285151,0.0715725,0.0276356,0.139837
5,0.190002,0.190002,-0.380004,-0.605525,0.112761,0.0161984,0.00578034,0.0431811
6,0.139183,0.139183,-0.278366,-0.350542,0.0360878,0.00273293,0.000961337,0.0109202
7,0.0896294,0.0896294,-0.179259,-0.196429,0.00858533,0.000310217,0.000128247,0.00248058
8,0.0485815,0.0485815,-0.097163,-0.099737,0.00128703,2.20893e-05,1.59768e-05,0.000596677
9,0.0200201,0.0200201,-0.0400403,-0.0402077,8.37299e-05,1.24119e-06,1.79039e-06,0.000134164
10,0.00439502,0.00439502,-0.00879005,-0.00879149,7.21802e-07,2.65375e-08,6.23569e-08,1.37043e-05
