,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,7.303434e-05,3.204810e-05,1.648300e-05,6.078000e-03,-2.485150e-03,-1.924519e-03,-1.418454e-03,3.852197e-02
1,3.301059e-04,1.414010e-04,6.229952e-05,1.139197e-02,-4.607642e-03,-3.493689e-03,-2.448343e-03,7.710049e-02
2,1.465533e-03,6.090562e-04,2.119013e-04,1.984630e-02,-7.811085e-03,-5.612290e-03,-3.757970e-03,1.451024e-01
3,6.330332e-03,2.540021e-03,6.056029e-04,3.044547e-02,-1.120375e-02,-6.939309e-03,-4.382614e-03,2.553854e-01
4,2.604577e-02,1.007768e-02,1.267692e-03,3.623879e-02,-1.076592e-02,-2.908590e-03,-1.109598e-03,3.993494e-01
5,9.682037e-02,3.618359e-02,1.411443e-03,2.551289e-02,-1.240880e-03,1.081159e-02,7.916190e-03,4.563761e-01
6,2.563576e-01,8.826298e-02,3.200214e-04,7.985733e-03,2.949249e-03,1.001926e-02,5.958578e-03,1.908596e-01
7,2.077893e-01,5.720070e-02,2.828742e-05,1.225949e-03,2.973789e-04,1.226528e-03,7.100285e-04,3.237780e-02
8,8.616771e-02,1.715761e-02,2.347170e-06,6.457960e-05,2.780834e-05,9.034966e-05,5.439027e-05,4.387218e-03
9,1.646879e-02,1.980044e-03,6.645128e-08,-1.374059e-06,1.666417e-06,2.763380e-06,1.635206e-06,2.884452e-04
10,3.211941e-04,1.291175e-05,5.904170e-11,-9.377656e-09,4.693100e-09,4.893752e-09,1.873694e-09,1.267199e-06
