,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.798923,0.798923,-1.59785,-2.88716,0.647089,1.0982,1.56674,1.31787
1,0.620916,0.620916,-1.24183,-4.17506,1.46741,1.32012,0.867101,1.23552
2,0.459535,0.459535,-0.91907,-3.24288,1.16227,0.800634,0.425638,0.831349
3,0.304724,0.304724,-0.609448,-1.88344,0.63711,0.2751,0.117444,0.38094
4,0.241523,0.241523,-0.483046,-1.08091,0.298973,0.0810173,0.030084,0.147288
5,0.193349,0.193349,-0.386698,-0.622608,0.117971,0.0190604,0.00644159,0.0460448
6,0.142062,0.142062,-0.284125,-0.35934,0.0376132,0.00333088,0.0010958,0.0117748
7,0.0917664,0.0917664,-0.183533,-0.201386,0.00892826,0.000394166,0.000150342,0.00270318
8,0.0499062,0.0499062,-0.0998123,-0.102491,0.0013398,3.04221e-05,1.94787e-05,0.000655345
9,0.0206508,0.0206508,-0.0413017,-0.0414774,8.79604e-05,2.18336e-06,2.32345e-06,0.000148368
10,0.0045628,0.0045628,-0.0091256,-0.00912727,8.38809e-07,1.1077e-07,9.9352e-08,1.53879e-05
