,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,6.90171e-05,2.63142e-05,9.25551e-06,0.00522117,-0.00206096,-0.00150913,-0.00124233,0.0257143
1,0.000319156,0.00012171,3.38359e-05,0.0107762,-0.00429835,-0.00320054,-0.00249695,0.0630905
2,0.00144196,0.000548777,0.000109692,0.0200863,-0.00789764,-0.00572586,-0.00415077,0.138214
3,0.00629218,0.00238569,0.000292085,0.0318906,-0.0117884,-0.00756079,-0.00484233,0.264294
4,0.0259868,0.00978976,0.000541898,0.0382216,-0.0114143,-0.00358349,-0.00116887,0.416212
5,0.0967655,0.0359402,0.000452871,0.0262889,-0.00116894,0.0109237,0.00812362,0.461871
6,0.258053,0.0888981,3.37015e-05,0.00746884,0.00342383,0.010589,0.0061468,0.191394
7,0.210991,0.0581703,4.83714e-07,0.00120153,0.000350133,0.00130073,0.00072754,0.0326057
8,0.0881636,0.017593,5.84225e-09,8.95851e-05,1.9766e-05,8.43047e-05,5.20834e-05,0.00441789
9,0.0170171,0.00205145,1.57727e-11,1.91876e-06,1.82911e-07,1.32555e-06,1.21304e-06,0.000288556
10,0.000338621,1.36593e-05,-5.23264e-15,4.25879e-09,-1.9156e-09,-1.70014e-09,-7.46855e-11,1.24218e-06
