,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.791006,0.791006,-1.58201,-6.40019,2.40909,2.34498,1.69932,2.22964
1,0.618763,0.618763,-1.23753,-3.49462,1.12855,0.870641,0.539278,0.934554
2,0.460242,0.460242,-0.920483,-2.58272,0.831121,0.451305,0.254292,0.60978
3,0.305534,0.305534,-0.611068,-1.62874,0.508835,0.147487,0.0735554,0.302259
4,0.243783,0.243783,-0.487567,-1.02369,0.26806,0.04485,0.0205046,0.12734
5,0.198187,0.198187,-0.396374,-0.628255,0.11594,0.0113776,0.00490224,0.0431622
6,0.148516,0.148516,-0.297033,-0.376413,0.0396903,0.00226514,0.000965846,0.0118965
7,0.0980973,0.0980973,-0.196195,-0.216128,0.00996685,0.000341298,0.000160708,0.00287731
8,0.0547578,0.0547578,-0.109516,-0.112657,0.0015708,4.12589e-05,2.48959e-05,0.000695681
9,0.0234486,0.0234486,-0.0468972,-0.0471149,0.000108823,4.34576e-06,3.19919e-06,0.000150133
10,0.00548042,0.00548042,-0.0109608,-0.0109631,1.13208e-06,1.88789e-07,1.42694e-07,1.42056e-05
