,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,6.73365e-05,2.57473e-05,8.94511e-06,0.00520016,-0.00205275,-0.0015034,2.28402e-20,0.0269548
1,0.000312797,0.000119384,3.27943e-05,0.0107255,-0.00427735,-0.00318447,7.37935e-20,0.0659283
2,0.00141799,0.000539822,0.000106624,0.0199943,-0.00785941,-0.00569704,1.43596e-19,0.14414
3,0.00620846,0.00235463,0.000284759,0.0317883,-0.0117494,-0.00753765,2.23209e-19,0.275367
4,0.0257405,0.00970038,0.000530003,0.0382215,-0.0114268,-0.00361379,6.31234e-19,0.433885
5,0.096288,0.0357784,0.000444633,0.0264367,-0.00123283,0.010869,6.13271e-19,0.482814
6,0.258429,0.0890926,3.32809e-05,0.00755456,0.00342575,0.0106391,-2.05434e-18,0.200964
7,0.212477,0.0586409,4.7991e-07,0.00122102,0.000351547,0.00131378,-5.43368e-18,0.0341263
8,0.0891803,0.0178173,5.83042e-09,9.15726e-05,1.98234e-05,8.54354e-05,-9.69718e-18,0.00458029
9,0.0172997,0.00208852,1.69516e-11,1.96908e-06,1.848e-07,1.35415e-06,-4.114e-19,0.000295258
10,0.000347264,1.40285e-05,1.97146e-16,4.24749e-09,-1.90338e-09,-1.68301e-09,-8.20715e-20,1.25199e-06
