,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,7.44431e-05,2.84351e-05,1.22273e-05,0.00578292,-0.00233408,-0.00177392,5.42101e-20,0.0320711
1,0.000341433,0.000130159,4.42037e-05,0.0116679,-0.00473045,-0.00361684,2.71051e-19,0.0751232
2,0.00152559,0.000580016,0.000141747,0.0211931,-0.00842945,-0.00622955,5.42101e-19,0.157879
3,0.00657257,0.00248907,0.000373452,0.032697,-0.0121658,-0.00789519,1.6263e-18,0.290787
4,0.026766,0.0100704,0.000685727,0.0377295,-0.0111605,-0.00328906,1.0842e-19,0.4438
5,0.0980729,0.03637,0.000567207,0.0240558,-0.000123568,0.0119292,-1.89735e-18,0.48272
6,0.25628,0.0881333,4.17236e-05,0.00695719,0.00355613,0.0106038,-5.29904e-18,0.198314
7,0.207092,0.0569879,5.9326e-07,0.00133084,0.000259927,0.00118549,-1.73472e-18,0.0335237
8,0.0858354,0.017089,7.12483e-09,0.000119198,2.6982e-06,6.49981e-05,-8.67044e-19,0.00450438
9,0.0164045,0.00197231,2.03951e-11,3.68173e-06,-7.47953e-07,3.44966e-07,6.61744e-23,0.000290996
10,0.000320108,1.28698e-05,2.17762e-16,8.17264e-09,-3.88632e-09,-3.68631e-09,-6.77621e-21,1.22297e-06
