 ,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
 0, 0.48350726E-04, 0.18555977E-04,-0.70943268E-13, 0.70248913E-02,-0.12369793E-02,-0.71773577E-03, 0.00000000E+00, 0.14116402E-01
 1, 0.23504301E-03, 0.90089785E-04, 0.44815714E-13, 0.15543142E-01,-0.28507896E-02,-0.18157937E-02, 0.00000000E+00, 0.42162807E-01
 2, 0.11219832E-02, 0.42915617E-03,-0.25817889E-13, 0.32014389E-01,-0.59462645E-02,-0.38889319E-02, 0.00000000E+00, 0.10921902E+00
 3, 0.51989581E-02, 0.19817802E-02, 0.10629518E-14, 0.57513783E-01,-0.10331026E-01,-0.62836055E-02, 0.00000000E+00, 0.24069474E+00
 4, 0.22899806E-01, 0.86762514E-02,-0.39031278E-15, 0.80331349E-01,-0.12428382E-01,-0.47739273E-02, 0.00000000E+00, 0.42180866E+00
 5, 0.91489269E-01, 0.34199891E-01,-0.27755576E-16, 0.67855010E-01,-0.47126055E-02, 0.75385415E-02, 0.00000000E+00, 0.49484572E+00
 6, 0.26493692E+00, 0.91898093E-01,-0.55511151E-16, 0.17085419E-01, 0.33829964E-02, 0.11037348E-01, 0.00000000E+00, 0.20502963E+00
 7, 0.22668279E+00, 0.62945632E-01,-0.13877788E-16, 0.13339527E-02, 0.72172920E-03, 0.17769466E-02, 0.00000000E+00, 0.33980438E-01
 8, 0.97646685E-01, 0.19652216E-01,-0.20816682E-16,-0.37700500E-04, 0.83371336E-04, 0.15731755E-03, 0.00000000E+00, 0.43801787E-02
 9, 0.19545076E-01, 0.23809135E-02, 0.12143064E-16,-0.83614342E-05, 0.34543074E-05, 0.48182564E-05, 0.00000000E+00, 0.26354610E-03
10, 0.41767587E-03, 0.17058637E-04, 0.20030635E-16,-0.15339729E-07, 0.41097369E-08, 0.43845416E-08, 0.00000000E+00, 0.98421090E-06
