,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,7.14907e-05,2.99926e-05,1.38731e-05,0.00580634,-0.00235102,-0.00179377,-0.00137826,0.0339027
1,0.000325944,0.0001343,5.20995e-05,0.0112028,-0.00451294,-0.00340527,-0.00248865,0.0719113
2,0.00145614,0.000587082,0.000175461,0.0199148,-0.00783414,-0.00564609,-0.00389699,0.142152
3,0.00631171,0.00248264,0.000494148,0.0308723,-0.0113693,-0.00712017,-0.00449421,0.257709
4,0.026002,0.0099657,0.00100995,0.0368853,-0.010969,-0.0031243,-0.00107624,0.404262
5,0.0967289,0.0360708,0.00107075,0.0258565,-0.00124914,0.0108177,0.00794719,0.457737
6,0.256968,0.0885031,0.000218055,0.00785099,0.00310046,0.0102125,0.00599538,0.191372
7,0.209165,0.0576239,1.84042e-05,0.00122796,0.000312796,0.00125176,0.000714943,0.0325843
8,0.0870609,0.0173535,1.51933e-06,7.49315e-05,2.44128e-05,8.78736e-05,5.39887e-05,0.00442236
9,0.0167171,0.00201251,4.33168e-08,-1.41387e-07,1.11279e-06,2.23148e-06,1.54498e-06,0.000290837
10,0.000329032,1.32475e-05,3.98867e-11,-4.52836e-09,2.33997e-09,2.5465e-09,1.4529e-09,1.27797e-06
