,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,6.73365e-05,2.57473e-05,8.94511e-06,0.00520016,-0.00205275,-0.0015034,1.89735e-19,0.0269548
1,0.000312797,0.000119384,3.27943e-05,0.0107255,-0.00427735,-0.00318446,1.6263e-19,0.0659282
2,0.00141799,0.000539822,0.000106624,0.0199943,-0.0078594,-0.00569703,9.75782e-19,0.144139
3,0.00620845,0.00235463,0.000284759,0.0317883,-0.0117494,-0.00753764,7.58942e-19,0.275367
4,0.0257405,0.00970037,0.000530001,0.0382215,-0.0114268,-0.0036138,1.02999e-18,0.433884
5,0.0962879,0.0357783,0.000444633,0.0264367,-0.00123286,0.0108689,-5.96311e-19,0.482815
6,0.258429,0.0890925,3.32817e-05,0.00755459,0.00342574,0.0106391,-4.45878e-18,0.200964
7,0.212477,0.0586409,4.79928e-07,0.00122102,0.000351544,0.00131377,-2.60886e-18,0.0341263
8,0.0891803,0.0178172,5.83329e-09,9.15758e-05,1.9824e-05,8.54383e-05,-1.73486e-18,0.0045803
9,0.0172997,0.00208852,1.69495e-11,1.96909e-06,1.84799e-07,1.35415e-06,4.96308e-24,0.000295258
10,0.000347264,1.40285e-05,1.85995e-16,4.2475e-09,-1.90338e-09,-1.68301e-09,-6.77624e-21,1.25199e-06
