,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,7.30579e-05,3.20631e-05,1.6499e-05,0.00608042,-0.00248632,-0.00192565,-0.0014191,0.0385554
1,0.000330196,0.000141457,6.23583e-05,0.011395,-0.0046091,-0.00349506,-0.00244894,0.0771495
2,0.00146586,0.00060925,0.000212097,0.0198495,-0.00781261,-0.00561366,-0.00375834,0.145163
3,0.00633147,0.00254063,0.000606154,0.0304475,-0.0112048,-0.00694008,-0.00438265,0.255449
4,0.0260493,0.0100793,0.00126885,0.0362361,-0.0107648,-0.00290726,-0.00110864,0.399406
5,0.0968277,0.0361864,0.00141279,0.0255041,-0.00123718,0.0108151,0.00791813,0.456401
6,0.25635,0.0882593,0.00032037,0.00798252,0.0029499,0.0100191,0.00595832,0.19084
7,0.207762,0.0571922,2.83209e-05,0.00122565,0.000297305,0.00122625,0.00070989,0.0323707
8,0.0861493,0.0171535,2.3501e-06,6.45467e-05,2.78049e-05,9.03294e-05,5.43778e-05,0.00438604
9,0.0164636,0.00197937,6.64554e-08,-1.37669e-06,1.66712e-06,2.76365e-06,1.63478e-06,0.000288352
10,0.000321037,1.29051e-05,5.90932e-11,-9.39075e-09,4.69748e-09,4.89794e-09,1.87438e-09,1.26663e-06
