,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.7918,0.7918,-1.5836,-6.41071,2.41355,2.35023,-5.76446e-17,2.28809
1,0.620764,0.620764,-1.24153,-3.50984,1.13416,0.877199,-4.30131e-17,0.973315
2,0.462235,0.462235,-0.924471,-2.59709,0.836309,0.456066,-2.88307e-17,0.642035
3,0.307011,0.307011,-0.614021,-1.64107,0.513526,0.149672,-4.07551e-17,0.322983
4,0.245263,0.245263,-0.490525,-1.03325,0.271362,0.0456663,-5.64749e-17,0.137334
5,0.199854,0.199854,-0.399708,-0.635157,0.117724,0.0116169,-6.21668e-17,0.0467784
6,0.150179,0.150179,-0.300358,-0.381209,0.0404254,0.00231767,-1.91952e-17,0.0128779
7,0.0994893,0.0994893,-0.198979,-0.219349,0.010185,0.000349463,-1.80294e-17,0.0030816
8,0.0557194,0.0557194,-0.111439,-0.114661,0.00161121,4.21794e-05,-6.29152e-18,0.000734009
9,0.0239616,0.0239616,-0.0479232,-0.0481474,0.000112137,4.44071e-06,-7.87251e-18,0.000157602
10,0.00563857,0.00563857,-0.0112771,-0.0112795,1.17359e-06,1.93984e-07,-1.19691e-18,1.49731e-05
