,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,4.90304e-05,1.88219e-05,3.10082e-17,0.00353309,-0.0012454,-0.000724211,-0.000623314,0.0137409
1,0.00023842,9.13183e-05,-1.56125e-17,0.00781414,-0.00286831,-0.00182942,-0.00153125,0.0410495
2,0.00113637,0.000434575,-3.46945e-18,0.0160758,-0.00597326,-0.00390826,-0.00312128,0.10623
3,0.00525785,0.00200401,1.56125e-17,0.028818,-0.0103484,-0.00628683,-0.00458815,0.233574
4,0.0231134,0.00875543,2.42861e-17,0.0401256,-0.01239,-0.00471556,-0.00248029,0.407608
5,0.0920473,0.0343955,2.28983e-16,0.0337919,-0.0046454,0.0076051,0.00647014,0.474539
6,0.264774,0.0917573,-1.15186e-15,0.00850969,0.00334696,0.0109454,0.00652135,0.193987
7,0.224908,0.0623634,2.04003e-15,0.000660756,0.000709818,0.00174928,0.000920015,0.0319459
8,0.0962885,0.019346,-6.59195e-17,-1.86415e-05,8.17591e-05,0.000154127,7.8523e-05,0.00412017
9,0.0191378,0.00232667,3.55618e-17,-4.09559e-06,3.37158e-06,4.6933e-06,2.48569e-06,0.00024862
10,0.00040396,1.64644e-05,-5.59042e-19,-7.43198e-09,3.97978e-09,4.24239e-09,2.62972e-09,9.28566e-07
