,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.79827,0.79827,-1.59654,-4.09323,1.25007,1.18703,-2.498e-16,1.68082
1,0.621726,0.621726,-1.24345,-4.22626,1.49195,1.22566,-2.77556e-16,1.26924
2,0.460726,0.460726,-0.921452,-3.19562,1.13733,0.750674,-5.55112e-17,0.847816
3,0.305652,0.305652,-0.611303,-1.85715,0.623001,0.264827,-8.32667e-17,0.394125
4,0.242703,0.242703,-0.485405,-1.07753,0.296091,0.0797818,-2.08167e-17,0.154585
5,0.195008,0.195008,-0.390017,-0.62682,0.118412,0.0191921,-3.1225e-17,0.048793
6,0.143923,0.143923,-0.287845,-0.364258,0.0382097,0.00343537,-1.21431e-17,0.0124828
7,0.0934248,0.0934248,-0.18685,-0.205174,0.00916356,0.000416661,-3.46945e-18,0.00281776
8,0.051094,0.051094,-0.102188,-0.104962,0.00138739,3.21516e-05,-8.67362e-19,0.000664087
9,0.0212964,0.0212964,-0.0425928,-0.0427761,9.17373e-05,2.04983e-06,-1.0842e-18,0.000148046
10,0.00476099,0.00476099,-0.00952199,-0.0095237,8.5731e-07,8.57491e-08,-1.0842e-19,1.52697e-05
