 ,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
 0, 0.62819712E-04, 0.24035105E-04, 0.35290392E-05, 0.93792915E-02,-0.18050449E-02,-0.12636662E-02,-0.10543718E-02, 0.21305080E-01
 1, 0.29407549E-03, 0.11231945E-03, 0.13059137E-04, 0.19707616E-01,-0.38554137E-02,-0.27779575E-02,-0.22076685E-02, 0.54410999E-01
 2, 0.13449875E-02, 0.51245118E-03, 0.42867467E-04, 0.37630621E-01,-0.72935580E-02,-0.51596594E-02,-0.38358945E-02, 0.12368414E+00
 3, 0.59485244E-02, 0.22581522E-02, 0.11563375E-03, 0.61632746E-01,-0.11297437E-01,-0.71322871E-02,-0.47404243E-02, 0.24502999E+00
 4, 0.24951463E-01, 0.94133829E-02, 0.21756223E-03, 0.77235070E-01,-0.11653579E-01,-0.38925318E-02,-0.15608506E-02, 0.39912214E+00
 5, 0.94705687E-01, 0.35242729E-01, 0.18483341E-03, 0.57521291E-01,-0.23471158E-02, 0.97826916E-02, 0.75187796E-02, 0.45698065E+00
 6, 0.25981615E+00, 0.89779852E-01, 0.14079563E-04, 0.16761339E-01, 0.31614514E-02, 0.10521974E-01, 0.61972923E-02, 0.19560809E+00
 7, 0.21731955E+00, 0.60164702E-01, 0.20526934E-06, 0.24172045E-02, 0.39370532E-03, 0.13918601E-02, 0.76928838E-03, 0.33905511E-01
 8, 0.92445444E-01, 0.18538985E-01, 0.24832315E-08, 0.15682140E-03, 0.29798751E-04, 0.98804736E-04, 0.57333109E-04, 0.46166223E-02
 9, 0.18219213E-01, 0.22090391E-02, 0.59950021E-10, 0.19784038E-05, 0.75552049E-06, 0.20056883E-05, 0.14438114E-05, 0.30231427E-03
10, 0.37653278E-03, 0.15284801E-04, 0.48683288E-12, 0.40110391E-08,-0.76038288E-09,-0.51754415E-09, 0.38072949E-09, 0.13231609E-05
