,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.795605,0.795605,-1.59121,-6.09929,2.25461,2.19011,0,2.33779
1,0.619321,0.619321,-1.23864,-4.29439,1.528,1.26339,-2.498e-16,1.26566
2,0.459043,0.459043,-0.918086,-3.09813,1.09006,0.705801,-5.55112e-17,0.814608
3,0.304467,0.304467,-0.608935,-1.7934,0.592241,0.234944,-1.38778e-17,0.377271
4,0.24192,0.24192,-0.48384,-1.05552,0.285841,0.0692679,-6.93889e-18,0.149107
5,0.194746,0.194746,-0.389492,-0.621927,0.116218,0.0165224,-6.93889e-18,0.0474585
6,0.144094,0.144094,-0.288188,-0.364244,0.0380281,0.00296013,-5.20417e-18,0.0122212
7,0.0938127,0.0938127,-0.187625,-0.206065,0.00921954,0.00036434,0,0.00276079
8,0.0514881,0.0514881,-0.102976,-0.105791,0.00140743,2.92846e-05,-3.90313e-18,0.000645759
9,0.0215628,0.0215628,-0.0431255,-0.0433126,9.35635e-05,1.84579e-06,-1.73472e-18,0.000142587
10,0.00485872,0.00485872,-0.00971743,-0.00971912,8.46906e-07,5.10754e-08,-5.42101e-20,1.45198e-05
