,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.795,0.795,-1.59,-6.14992,2.28054,2.72358,2.28234,2.33804
1,0.617812,0.617812,-1.23562,-4.30135,1.53299,1.3879,0.851453,1.23263
2,0.457556,0.457556,-0.915112,-3.09464,1.08981,0.731874,0.391676,0.784036
3,0.303359,0.303359,-0.606718,-1.78552,0.589409,0.228018,0.104387,0.358463
4,0.2408,0.2408,-0.4816,-1.04866,0.283532,0.0643504,0.0265479,0.140656
5,0.193501,0.193501,-0.387002,-0.616926,0.114963,0.0148096,0.00569819,0.0446323
6,0.142878,0.142878,-0.285756,-0.360803,0.0375233,0.00257001,0.000976504,0.0115336
7,0.0928179,0.0928179,-0.185636,-0.203785,0.00907468,0.000309451,0.000134813,0.00264514
8,0.0508179,0.0508179,-0.101636,-0.104399,0.0013817,2.55777e-05,1.72191e-05,0.000632548
9,0.0212166,0.0212166,-0.0424332,-0.0426164,9.15948e-05,1.81912e-06,1.94182e-06,0.00014144
10,0.00475737,0.00475737,-0.00951474,-0.0095164,8.28298e-07,5.40147e-08,7.02137e-08,1.44878e-05
