 ,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
 0, 0.74442929E-04, 0.28434859E-04, 0.61136612E-05, 0.11565825E-01,-0.23340721E-02,-0.17739107E-02, 0.00000000E+00, 0.32071044E-01
 1, 0.34143198E-03, 0.13015854E-03, 0.22101872E-04, 0.23335760E-01,-0.47304450E-02,-0.36168373E-02, 0.00000000E+00, 0.75123076E-01
 2, 0.15255928E-02, 0.58001536E-03, 0.70873279E-04, 0.42386282E-01,-0.84294524E-02,-0.62295464E-02, 0.00000000E+00, 0.15787935E+00
 3, 0.65725697E-02, 0.24890697E-02, 0.18672598E-03, 0.65394110E-01,-0.12165847E-01,-0.78951902E-02, 0.00000000E+00, 0.29078731E+00
 4, 0.26766025E-01, 0.10070378E-01, 0.34286393E-03, 0.75459157E-01,-0.11160459E-01,-0.32890559E-02, 0.00000000E+00, 0.44380072E+00
 5, 0.98072959E-01, 0.36370011E-01, 0.28360280E-03, 0.48111544E-01,-0.12355687E-03, 0.11929211E-01, 0.00000000E+00, 0.48271938E+00
 6, 0.25628001E+00, 0.88133413E-01, 0.20858835E-04, 0.13914353E-01, 0.35561394E-02, 0.10603844E-01, 0.00000000E+00, 0.19831419E+00
 7, 0.20709240E+00, 0.56987926E-01, 0.29538250E-06, 0.26616743E-02, 0.25992911E-03, 0.11854931E-02, 0.00000000E+00, 0.33523805E-01
 8, 0.85835467E-01, 0.17089108E-01, 0.34935260E-08, 0.23839112E-03, 0.26971862E-05, 0.64994974E-04, 0.00000000E+00, 0.45043726E-02
 9, 0.16404540E-01, 0.19723084E-02, 0.85016022E-10, 0.73632211E-05,-0.74795638E-06, 0.34495977E-06, 0.00000000E+00, 0.29099623E-03
10, 0.32010817E-03, 0.12869777E-04, 0.64434216E-12, 0.16345102E-07,-0.38867911E-08,-0.36866998E-08, 0.00000000E+00, 0.12229667E-05
