,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.7918,0.7918,-1.5836,-6.41071,2.41355,2.35023,-2.22045e-16,2.28809
1,0.620764,0.620764,-1.24153,-3.50984,1.13416,0.877199,-8.32667e-17,0.973314
2,0.462235,0.462235,-0.924471,-2.59709,0.836309,0.456066,-1.11022e-16,0.642035
3,0.30701,0.30701,-0.614021,-1.64107,0.513526,0.149672,-4.16334e-17,0.322983
4,0.245263,0.245263,-0.490525,-1.03325,0.271362,0.0456662,-5.55112e-17,0.137334
5,0.199854,0.199854,-0.399708,-0.635156,0.117724,0.0116168,-1.73472e-17,0.0467778
6,0.150179,0.150179,-0.300358,-0.381208,0.0404251,0.00231769,-1.04083e-17,0.0128777
7,0.0994893,0.0994893,-0.198979,-0.219349,0.010185,0.000349466,-1.73472e-18,0.00308162
8,0.0557194,0.0557194,-0.111439,-0.114661,0.00161121,4.21795e-05,-2.1684e-18,0.000734011
9,0.0239616,0.0239616,-0.0479231,-0.0481474,0.000112139,4.4407e-06,-1.0842e-18,0.000157602
10,0.00563854,0.00563854,-0.0112771,-0.0112794,1.17359e-06,1.9397e-07,-4.33681e-19,1.49725e-05
