,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,7.149473e-05,2.999444e-05,1.387504e-05,5.806748e-03,-2.351221e-03,-1.793959e-03,-1.378380e-03,3.390742e-02
1,3.259597e-04,1.343080e-04,5.210670e-05,1.120341e-02,-4.513234e-03,-3.405540e-03,-2.488800e-03,7.191920e-02
2,1.456200e-03,5.871111e-04,1.754845e-04,1.991557e-02,-7.834490e-03,-5.646415e-03,-3.897132e-03,1.421638e-01
3,6.311939e-03,2.482739e-03,4.942105e-04,3.087286e-02,-1.136954e-02,-7.120389e-03,-4.494236e-03,2.577235e-01
4,2.600270e-02,9.965998e-03,1.010075e-03,3.688502e-02,-1.096879e-02,-3.124050e-03,-1.075975e-03,4.042763e-01
5,9.673053e-02,3.607143e-02,1.070876e-03,2.585483e-02,-1.248356e-03,1.081849e-02,7.947589e-03,4.577425e-01
6,2.569671e-01,8.850260e-02,2.180761e-04,7.850246e-03,3.100673e-03,1.021252e-02,5.995325e-03,1.913675e-01
7,2.091602e-01,5.762228e-02,1.840373e-05,1.227902e-03,3.127908e-04,1.251715e-03,7.149178e-04,3.258300e-02
8,8.705744e-02,1.735279e-02,1.519115e-06,7.492581e-05,2.441021e-05,8.786522e-05,5.398463e-05,4.422121e-03
9,1.671619e-02,2.012385e-03,4.340102e-08,-1.413953e-07,1.112723e-06,2.231327e-06,1.544892e-06,2.908186e-04
10,3.290020e-04,1.324622e-05,4.028103e-11,-4.525179e-09,2.339447e-09,2.546038e-09,1.452424e-09,1.277846e-06
