,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,6.73507e-05,2.75258e-05,1.12613e-05,0.0054652,-0.00218632,-0.00163619,2.1684e-19,0.0314164
1,0.000310292,0.000125075,4.24388e-05,0.0107768,-0.00430886,-0.00321478,3.25261e-19,0.0695439
2,0.00140003,0.000555159,0.000143134,0.0195188,-0.00764512,-0.00548157,4.33681e-19,0.142406
3,0.00612504,0.00238409,0.000402479,0.0307432,-0.0113,-0.00708929,0,0.264426
4,0.0254615,0.00971451,0.000816357,0.0373707,-0.0111635,-0.00335837,1.6263e-18,0.419396
5,0.095686,0.0356721,0.000844019,0.0268789,-0.0016403,0.010453,5.42101e-20,0.477723
6,0.258168,0.0890661,0.000159982,0.00810839,0.00311287,0.0103421,-3.55076e-18,0.202242
7,0.213031,0.0588368,1.31486e-05,0.00124489,0.000336423,0.00130387,-1.73726e-18,0.0345411
8,0.089656,0.0179252,1.08993e-06,7.84244e-05,2.57955e-05,9.19222e-05,-1.30157e-18,0.00465157
9,0.0174395,0.00210677,3.08279e-08,2.53345e-07,1.00008e-06,2.18132e-06,-5.42147e-19,0.000301721
10,0.000351392,1.42025e-05,2.08286e-11,-2.7177e-09,1.49094e-09,1.71429e-09,-5.08222e-21,1.3081e-06
