 ,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
 0, 0.61781049E-04, 0.23641147E-04, 0.34278941E-05, 0.93893777E-02,-0.18091943E-02,-0.12694899E-02, 0.00000000E+00, 0.22529926E-01
 1, 0.28974187E-03, 0.11068370E-03, 0.12712030E-04, 0.19705507E-01,-0.38579722E-02,-0.27837620E-02, 0.00000000E+00, 0.57272490E-01
 2, 0.13280819E-02, 0.50611597E-03, 0.41819064E-04, 0.37597497E-01,-0.72907950E-02,-0.51629041E-02, 0.00000000E+00, 0.12974738E+00
 3, 0.58890978E-02, 0.22361406E-02, 0.11305458E-03, 0.61574947E-01,-0.11291597E-01,-0.71362833E-02, 0.00000000E+00, 0.25643801E+00
 4, 0.24777184E-01, 0.93502386E-02, 0.21319905E-03, 0.77219396E-01,-0.11658440E-01,-0.39083174E-02, 0.00000000E+00, 0.41724624E+00
 5, 0.94370524E-01, 0.35129259E-01, 0.18161084E-03, 0.57533774E-01,-0.23430503E-02, 0.97922480E-02, 0.00000000E+00, 0.47804069E+00
 6, 0.26007584E+00, 0.89914669E-01, 0.13887989E-04, 0.16761249E-01, 0.31931786E-02, 0.10585298E-01, 0.00000000E+00, 0.20494802E+00
 7, 0.21836628E+00, 0.60497033E-01, 0.20313213E-06, 0.24314469E-02, 0.39809534E-03, 0.14042010E-02, 0.00000000E+00, 0.35366465E-01
 8, 0.93169204E-01, 0.18699173E-01, 0.24632003E-08, 0.15866166E-03, 0.30090874E-04, 0.99849152E-04, 0.00000000E+00, 0.47689904E-02
 9, 0.18423140E-01, 0.22357086E-02, 0.59419027E-10, 0.20123000E-05, 0.76482554E-06, 0.20327730E-05, 0.00000000E+00, 0.30796034E-03
10, 0.38292583E-03, 0.15558621E-04, 0.48579885E-12, 0.39103009E-08,-0.73034106E-09,-0.48264962E-09, 0.00000000E+00, 0.13247334E-05
